Country,Description
United States,"The United States of America (USA) is a country primarily located in North America. It consists of 50 states, a federal district, five major self-governing territories, and various possessions."
Canada,"Canada is a country in North America. 'It is known for its natural beauty, including vast forests, mountain ranges, and numerous lakes.'"
United Kingdom,"The United Kingdom (UK) is a country located off the northwestern coast of mainland Europe. It consists of four constituent countries: England, Scotland, Wales, and Northern Ireland."
Australia,"Australia is a country and continent surrounded by the Indian and Pacific Oceans. Its major cities include Sydney, Melbourne, Brisbane, Perth, and Adelaide."
France,"France is a country located in Western Europe. It is known for its rich history, culture, and iconic landmarks such as the Eiffel Tower and Louvre Museum."
Germany,"Germany is a country in Central Europe known for its strong economy, engineering, and contributions to art, science, and philosophy."
Japan,"Japan is an island country in East Asia. It is known for its technological advancements, traditional culture, and beautiful landscapes."
India,"India is a country in South Asia known for its diverse culture, ancient history, and vibrant cities."
Brazil,"Brazil is the largest country in South America and known for its Amazon Rainforest, vibrant cities like Rio de Janeiro, and rich cultural heritage."
China,"China is the world's most populous country and known for its long history, stunning landscapes, and rapid economic growth."
